target,pharm_action,gene,uniprot_id,drugbank_id
Sodium/potassium-transporting ATPase subunit alpha-2,Unknown,ATP1A2,P50993,DB01092
Sodium/potassium-transporting ATPase subunit alpha-3,Unknown,ATP1A3,P13637,DB01092
"cAMP-specific 3',5'-cyclic phosphodiesterase 4A",Yes,PDE4A,P27815,DB05266
"cAMP-specific 3',5'-cyclic phosphodiesterase 4B",Yes,PDE4B,Q07343,DB05266
"cAMP-specific 3',5'-cyclic phosphodiesterase 4C",Yes,PDE4C,Q08493,DB05266
"cAMP-specific 3',5'-cyclic phosphodiesterase 4D",Unknown,PDE4D,Q08499,DB05266
"cGMP-inhibited 3',5'-cyclic phosphodiesterase A",Unknown,PDE3A,Q14432,DB05266
Beta-1 adrenergic receptor,Yes,ADRB1,P08588,DB00571
Beta-2 adrenergic receptor,Unknown,ADRB2,P07550,DB00571
Beta-3 adrenergic receptor,Unknown,ADRB3,P13945,DB00571
5-hydroxytryptamine receptor 1A,Unknown,HTR1A,P08908,DB00571
5-hydroxytryptamine receptor 1B,Unknown,HTR1B,P28222,DB00571
ATP-binding cassette sub-family C member 8,Yes,ABCC8,Q09428,DB01067
Peroxisome proliferator-activated receptor gamma,Unknown,PPARG,P37231,DB01067
Sodium channel protein type 5 subunit alpha,Yes,SCN5A,Q14524,DB00740
Cystine/glutamate transporter,Yes,SLC7A11,Q9UPY5,DB00740
Fibroblast growth factor receptor 1,Yes,FGFR1,P11362,DB11886
Fibroblast growth factor receptor 2,Yes,FGFR2,P21802,DB11886
Fibroblast growth factor receptor 3,Yes,FGFR3,P22607,DB11886
Fibroblast growth factor receptor 4,Yes,FGFR4,P22455,DB11886
"cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A",Yes,PDE10A,Q9Y233,DB00975
"cGMP-specific 3',5'-cyclic phosphodiesterase",Yes,PDE5A,O76074,DB00975
"cAMP-specific 3',5'-cyclic phosphodiesterase 4A",Yes,PDE4A,P27815,DB00975
Adenosine deaminase,Yes,ADA,P00813,DB00975
Calcipressin-1,Unknown,RCAN1,P53805,DB00975
Alpha-1-acid glycoprotein 1,Unknown,ORM1,P02763,DB00975
Serum albumin,Unknown,ALB,P02768,DB03255
Thermolysin,Unknown,npr,P00800,DB03255
5-hydroxytryptamine receptor 2A,Yes,HTR2A,P28223,DB01224
Dopamine D2 receptor,Yes,DRD2,P14416,DB01224
5-hydroxytryptamine receptor 1A,Unknown,HTR1A,P08908,DB01224
5-hydroxytryptamine receptor 1B,Unknown,HTR1B,P28222,DB01224
5-hydroxytryptamine receptor 1D,Unknown,HTR1D,P28221,DB01224
5-hydroxytryptamine receptor 1E,Unknown,HTR1E,P28566,DB01224
5-hydroxytryptamine receptor 2C,Unknown,HTR2C,P28335,DB01224
5-hydroxytryptamine receptor 3A,Unknown,HTR3A,P46098,DB01224
5-hydroxytryptamine receptor 6,Unknown,HTR6,P50406,DB01224
5-hydroxytryptamine receptor 7,Unknown,HTR7,P34969,DB01224
Dopamine D1 receptor,Unknown,DRD1,P21728,DB01224
Dopamine D5 receptor,Unknown,DRD5,P21918,DB01224
Dopamine D3 receptor,Unknown,DRD3,P35462,DB01224
Dopamine D4 receptor,Unknown,DRD4,P21917,DB01224
Histamine H1 receptor,Unknown,HRH1,P35367,DB01224
Alpha-1 adrenergic receptors (Protein Group),Unknown,,,DB01224
Alpha-2A adrenergic receptor,Unknown,ADRA2A,P08913,DB01224
Alpha-2B adrenergic receptor,Unknown,ADRA2B,P18089,DB01224
Alpha-2C adrenergic receptor,Unknown,ADRA2C,P18825,DB01224
Muscarinic acetylcholine receptor M1,Unknown,CHRM1,P11229,DB01224
Muscarinic acetylcholine receptor M2,Unknown,CHRM2,P08172,DB01224
Muscarinic acetylcholine receptor M3,Unknown,CHRM3,P20309,DB01224
Muscarinic acetylcholine receptor M4,Unknown,CHRM4,P08173,DB01224
Muscarinic acetylcholine receptor M5,Unknown,CHRM5,P08912,DB01224
Poly [ADP-ribose] polymerase 1,Yes,PARP1,P09874,DB12332
Poly [ADP-ribose] polymerase 2,Yes,PARP2,Q9UGN5,DB12332
Poly [ADP-ribose] polymerase 3,Yes,PARP3,Q9Y6F1,DB12332
Bifunctional epoxide hydrolase 2,Unknown,EPHX2,P34913,DB12610
Dopamine D2 receptor,Yes,DRD2,P14416,DB00589
Dopamine D3 receptor,Yes,DRD3,P35462,DB00589
Dopamine D4 receptor,Yes,DRD4,P21917,DB00589
5-hydroxytryptamine receptor 2A,Yes,HTR2A,P28223,DB00589
5-hydroxytryptamine receptor 2C,Yes,HTR2C,P28335,DB00589
Dopamine D1 receptor,Unknown,DRD1,P21728,DB00589
Dopamine D5 receptor,Unknown,DRD5,P21918,DB00589
5-hydroxytryptamine receptor 1A,Unknown,HTR1A,P08908,DB00589
5-hydroxytryptamine receptor 1D,Unknown,HTR1D,P28221,DB00589
5-hydroxytryptamine receptor 2B,Unknown,HTR2B,P41595,DB00589
5-hydroxytryptamine receptor 1B,Unknown,HTR1B,P28222,DB00589
Alpha-2A adrenergic receptor,Unknown,ADRA2A,P08913,DB00589
Alpha-2B adrenergic receptor,Unknown,ADRA2B,P18089,DB00589
Alpha-2C adrenergic receptor,Unknown,ADRA2C,P18825,DB00589
5-hydroxytryptamine receptor 7,Unknown,HTR7,P34969,DB00589
Hydroxycarboxylic acid receptor 3,Yes,HCAR3,P49019,DB00627
Hydroxycarboxylic acid receptor 2,Yes,HCAR2,Q8TDS4,DB00627
Nicotinate-nucleotide pyrophosphorylase [carboxylating],Yes,QPRT,Q15274,DB00627
Nicotinamide N-methyltransferase,Yes,NNMT,P40261,DB00627
Prostaglandin G/H synthase 2,Unknown,PTGS2,P35354,DB02266
Prostaglandin G/H synthase 1,Unknown,PTGS1,P23219,DB02266
Aldo-keto reductase family 1 member C3,Unknown,AKR1C3,P42330,DB02266
Androgen receptor,Unknown,AR,P10275,DB02266
Peroxisome proliferator-activated receptor alpha,Unknown,PPARA,Q07869,DB02266
Peroxisome proliferator-activated receptor gamma,Unknown,PPARG,P37231,DB02266
5-hydroxytryptamine receptor 2A,Yes,HTR2A,P28223,DB00334
Dopamine D2 receptor,Yes,DRD2,P14416,DB00334
Dopamine D1 receptor,Unknown,DRD1,P21728,DB00334
Dopamine D5 receptor,Unknown,DRD5,P21918,DB00334
Dopamine D3 receptor,Unknown,DRD3,P35462,DB00334
Dopamine D4 receptor,Unknown,DRD4,P21917,DB00334
5-hydroxytryptamine receptor 2C,Unknown,HTR2C,P28335,DB00334
5-hydroxytryptamine receptor 3A,Unknown,HTR3A,P46098,DB00334
5-hydroxytryptamine receptor 6,Unknown,HTR6,P50406,DB00334
Histamine H1 receptor,Unknown,HRH1,P35367,DB00334
Alpha-1A adrenergic receptor,Unknown,ADRA1A,P35348,DB00334
Alpha-1B adrenergic receptor,Unknown,ADRA1B,P35368,DB00334
Muscarinic acetylcholine receptor M1,Unknown,CHRM1,P11229,DB00334
Muscarinic acetylcholine receptor M2,Unknown,CHRM2,P08172,DB00334
Muscarinic acetylcholine receptor M3,Unknown,CHRM3,P20309,DB00334
Muscarinic acetylcholine receptor M4,Unknown,CHRM4,P08173,DB00334
D(1) dopamine receptor (Protein Group),Unknown,,,DB00334
Beta adrenergic receptor (Protein Group),No,,,DB00334
5-hydroxytryptamine receptor 1 (Protein Group),Unknown,,,DB00334
GABA(A) Receptor Benzodiazepine Binding Site (Protein Group),No,,,DB00334
Histamine H2 receptor,Yes,HRH2,P25021,DB00863
Acetylcholinesterase,Unknown,ACHE,P22303,DB00863
Arachidonate 5-lipoxygenase,Yes,ALOX5,P09917,DB00744
Sodium-dependent serotonin transporter,Yes,SLC6A4,P31645,DB00472
5-hydroxytryptamine receptor 2C,Unknown,HTR2C,P28335,DB00472
Neuronal acetylcholine receptor subunit alpha-2,Unknown,CHRNA2,Q15822,DB00472
Neuronal acetylcholine receptor subunit alpha-3,Unknown,CHRNA3,P32297,DB00472
Neuronal acetylcholine receptor subunit beta-4,Unknown,CHRNB4,P30926,DB00472
Cyclin-dependent kinases regulatory subunit 1,Unknown,CKS1B,P61024,DB00472
Potassium voltage-gated channel subfamily H member 2,Unknown,KCNH2,Q12809,DB00472
Cytochrome b,Yes,MT-CYB,Q02768,DB01117
"Dihydroorotate dehydrogenase (quinone), mitochondrial",Yes,Not Available,Q08210,DB01117
"Dihydroorotate dehydrogenase (quinone), mitochondrial",Unknown,DHODH,Q02127,DB01117
Histone deacetylase 1,Unknown,HDAC1,Q13547,DB12565
Histone deacetylase (Protein Group),Unknown,,,DB12565
Bcl-2-like protein 1,Unknown,BCL2L1,Q07817,DB13044
Prostaglandin G/H synthase 2,Yes,PTGS2,P35354,DB00712
Prostaglandin G/H synthase 1,Unknown,PTGS1,P23219,DB00712
Poly [ADP-ribose] polymerase 1,Unknown,PARP1,P09874,DB07232
Poly [ADP-ribose] polymerase 2,Unknown,PARP2,Q9UGN5,DB07232
Histamine H2 receptor,Yes,HRH2,P25021,DB00927
DNA,Yes,,,DB00544
RNA,Yes,,,DB00544
Thymidylate synthase,Yes,TYMS,P04818,DB00544
Peroxisome proliferator-activated receptor alpha,Yes,PPARA,Q07869,DB01241
Solute carrier organic anion transporter family member 1B1,Unknown,SLCO1B1,Q9Y6L6,DB01241
Solute carrier family 22 member 8,Unknown,SLC22A8,Q8TCC7,DB01241
Solute carrier organic anion transporter family member 2B1,Unknown,SLCO2B1,O94956,DB01241
Solute carrier organic anion transporter family member 1B3,Unknown,SLCO1B3,Q9NPD5,DB01241
Ribonucleoside-diphosphate reductase large subunit,Yes,RRM1,P23921,DB01005
DNA,Yes,,,DB01204
DNA topoisomerase 2-alpha,Yes,TOP2A,P11388,DB01204
Cyclin-dependent kinase 4,Yes,CDK4,P11802,DB12001
Cyclin-dependent kinase 6,Yes,CDK6,Q00534,DB12001
Dihydrofolate reductase,Unknown,folA,P0ABQ4,DB12769
DNA,Unknown,,,DB06803
CTP synthase 1,Unknown,CTPS1,P17812,DB00130
Amidophosphoribosyltransferase,Unknown,PPAT,Q06203,DB00130
Glutamine synthetase,Unknown,GLUL,P15104,DB00130
Estrogen receptor alpha,Yes,ESR1,P03372,DB00947
Toll-like receptor 7,Yes,TLR7,Q9NYK1,DB01611
Toll-like receptor 9,Yes,TLR9,Q9NR96,DB01611
DNA,Yes,,,DB01611
Angiotensin-converting enzyme 2,Unknown,ACE2,Q9BYF1,DB01611
Neuronal acetylcholine receptor subunit alpha-4,Unknown,CHRNA4,P43681,DB09028
Neuronal acetylcholine receptor subunit alpha-7,Unknown,CHRNA7,P36544,DB09028
Neuronal acetylcholine receptor subunit alpha-3,Unknown,CHRNA3,P32297,DB09028
Neuronal acetylcholine receptor subunit alpha-6,Unknown,CHRNA6,Q15825,DB09028
Neuronal acetylcholine receptor subunit beta-2,Unknown,CHRNB2,P17787,DB09028
Serine/threonine-protein kinase PLK1,Unknown,PLK1,P53350,DB12062
3-oxo-5-alpha-steroid 4-dehydrogenase 2,Yes,SRD5A2,P31213,DB01216
3-oxo-5-alpha-steroid 4-dehydrogenase 1,Unknown,SRD5A1,P18405,DB01216
3-oxo-5-beta-steroid 4-dehydrogenase,Unknown,AKR1D1,P51857,DB01216
Inosine-5'-monophosphate dehydrogenase 2,Yes,IMPDH2,P12268,DB01024
Inosine-5'-monophosphate dehydrogenase 1,Yes,IMPDH1,P20839,DB01024
Histone deacetylase 1,Unknown,HDAC1,Q13547,DB11830
Histone deacetylase 3,Unknown,HDAC3,O15379,DB11830
Histone deacetylase 2,Unknown,HDAC2,Q92769,DB11830
Ryanodine receptor 1,Yes,RYR1,P21817,DB09085
Ryanodine receptor 2,Yes,RYR2,Q92736,DB09085
Voltage-gated sodium channel alpha subunit (Protein Group),Yes,,,DB09085
Estrogen receptor alpha,Unknown,ESR1,P03372,DB06249
Estrogen receptor beta,Unknown,ESR2,Q92731,DB06249
Dopamine D3 receptor,Yes,DRD3,P35462,DB00413
Dopamine D2 receptor,Yes,DRD2,P14416,DB00413
Dopamine D4 receptor,Yes,DRD4,P21917,DB00413
5-hydroxytryptamine receptor 1A,Unknown,HTR1A,P08908,DB00413
Alpha-2A adrenergic receptor,Unknown,ADRA2A,P08913,DB00413
Sodium-dependent serotonin transporter,Yes,SLC6A4,P31645,DB01175
Muscarinic acetylcholine receptor M1,Unknown,CHRM1,P11229,DB01175
Histamine H1 receptor,Unknown,HRH1,P35367,DB01175
5-hydroxytryptamine receptor 1A,Unknown,HTR1A,P08908,DB01175
5-hydroxytryptamine receptor 2A,Unknown,HTR2A,P28223,DB01175
Alpha-1 adrenergic receptors (Protein Group),Unknown,,,DB01175
5-hydroxytryptamine receptor 2C,Unknown,HTR2C,P28335,DB01175
Alpha-2 adrenergic receptors (Protein Group),Unknown,,,DB01175
Dopamine D2 receptor,Unknown,DRD2,P14416,DB01175
Sodium-dependent noradrenaline transporter,Unknown,SLC6A2,P23975,DB01175
Sodium-dependent dopamine transporter,No,SLC6A3,Q01959,DB01175
Dopamine D2 receptor,Yes,DRD2,P14416,DB00679
Dopamine D1 receptor,Yes,DRD1,P21728,DB00679
Alpha-1A adrenergic receptor,Yes,ADRA1A,P35348,DB00679
Alpha-1B adrenergic receptor,Yes,ADRA1B,P35368,DB00679
5-hydroxytryptamine receptor 2A,Yes,HTR2A,P28223,DB00679
Potassium voltage-gated channel subfamily H member 2,Unknown,KCNH2,Q12809,DB00679
Alpha-1A adrenergic receptor,Yes,ADRA1A,P35348,DB00457
Alpha-1B adrenergic receptor,Yes,ADRA1B,P35368,DB00457
Alpha-1D adrenergic receptor,Yes,ADRA1D,P25100,DB00457
Potassium voltage-gated channel subfamily H member 2,Unknown,KCNH2,Q12809,DB00457
Alpha-2A adrenergic receptor,Unknown,ADRA2A,P08913,DB00457
Alpha-2B adrenergic receptor,Unknown,ADRA2B,P18089,DB00457
Alpha-1 adrenergic receptors (Protein Group),Unknown,,,DB00457
Dopamine D2 receptor,Yes,DRD2,P14416,DB00391
Dopamine D3 receptor,Unknown,DRD3,P35462,DB00391
Carbonic anhydrase 2,Unknown,CA2,P00918,DB00391
Carbonic anhydrase 3,Unknown,CA3,P07451,DB00391
Dopamine D4 receptor,Unknown,DRD4,P21917,DB00391
Dihydrofolate reductase,Yes,DHFR,P00374,DB00205
Bifunctional dihydrofolate reductase-thymidylate synthase,Yes,Not Available,P13922,DB00205
Beta-hexosaminidase subunit beta,Unknown,HEXB,P07686,DB00205
Alpha-2A adrenergic receptor,Unknown,ADRA2A,P08913,DB06148
5-hydroxytryptamine receptor 2A,Unknown,HTR2A,P28223,DB06148
5-hydroxytryptamine receptor 2C,Unknown,HTR2C,P28335,DB06148
Histamine H1 receptor,Unknown,HRH1,P35367,DB06148
Sodium-dependent noradrenaline transporter,Unknown,SLC6A2,P23975,DB06148
Sodium-dependent serotonin transporter,Unknown,SLC6A4,P31645,DB06148
Histamine H4 receptor,Unknown,HRH4,Q9H3N8,DB06148
5-hydroxytryptamine receptor 1A,Unknown,HTR1A,P08908,DB06148
Alpha-2C adrenergic receptor,Unknown,ADRA2C,P18825,DB06148
5-hydroxytryptamine receptor 2B,Unknown,HTR2B,P41595,DB06148
5-hydroxytryptamine receptor 1F,Unknown,HTR1F,P30939,DB06148
Alpha-2B adrenergic receptor,Unknown,ADRA2B,P18089,DB06148
Dopamine D3 receptor,Unknown,DRD3,P35462,DB06148
Kappa-type opioid receptor,Unknown,OPRK1,P41145,DB06148
Sodium-dependent dopamine transporter,Unknown,SLC6A3,Q01959,DB06148
5-hydroxytryptamine receptor 7,Unknown,HTR7,P34969,DB06148
Dopamine D2 receptor,Unknown,DRD2,P14416,DB06148
5-hydroxytryptamine receptor 6,Unknown,HTR6,P50406,DB06148
Alpha-1 adrenergic receptors (Protein Group),Unknown,,,DB06148
D(1) dopamine receptor (Protein Group),Unknown,,,DB06148
Pyruvate kinase PKM,Unknown,PKM,P14618,DB08951
Dual specificity mitogen-activated protein kinase kinase 1,Yes,MAP2K1,Q02750,DB08911
Dual specificity mitogen-activated protein kinase kinase 2,Yes,MAP2K2,P36507,DB08911
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",Unknown,PIK3CG,P48736,DB04216
UDP-glucuronosyltransferase 3A1,Unknown,UGT3A1,Q6NUS8,DB04216
"ATP synthase subunit alpha, mitochondrial",Unknown,ATP5A1,P25705,DB04216
"ATP synthase subunit beta, mitochondrial",Unknown,ATP5B,P06576,DB04216
"ATP synthase subunit gamma, mitochondrial",Unknown,ATP5C1,P36542,DB04216
Serine/threonine-protein kinase pim-1,Unknown,PIM1,P11309,DB04216
HTH-type transcriptional regulator TtgR,Unknown,ttgR,Q9AIU0,DB04216
"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial",Unknown,HIBCH,Q6NVY1,DB04216
3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ,Unknown,fabZ,Q5G940,DB04216
Serine/threonine-protein kinase 17B,Unknown,STK17B,O94768,DB04216
Estrogen receptor alpha,Unknown,ESR1,P03372,DB04216
Estrogen receptor beta,Unknown,ESR2,Q92731,DB04216
Ribosyldihydronicotinamide dehydrogenase [quinone],Unknown,NQO2,P16083,DB04216
Aryl hydrocarbon receptor,Unknown,AHR,P35869,DB04216
Cytochrome P450 1B1,Unknown,CYP1B1,Q16678,DB04216
"Actin, cytoplasmic 1",Unknown,ACTB,P60709,DB04216
Casein kinase II subunit alpha,Unknown,CSNK2A1,P68400,DB04216
Casein kinase II subunit beta,Unknown,CSNK2B,P67870,DB04216
Eukaryotic translation initiation factor 3 subunit F,Unknown,EIF3F,O00303,DB04216
Heat shock protein HSP 90-alpha,Unknown,HSP90AA1,P07900,DB04216
Heat shock-related 70 kDa protein 2,Unknown,HSPA2,P54652,DB04216
RuvB-like 2,Unknown,RUVBL2,Q9Y230,DB04216
Splicing factor 3B subunit 3,Unknown,SF3B3,Q15393,DB04216
Ubiquitin-like modifier-activating enzyme 1,Unknown,UBA1,P22314,DB04216
Sex hormone-binding globulin,Unknown,SHBG,P04278,DB04216
Carbonyl reductase [NADPH] 1,Unknown,CBR1,P16152,DB04216
CCAAT/enhancer-binding protein beta,Unknown,CEBPB,P17676,DB04216
Nuclear receptor subfamily 1 group I member 2,Unknown,NR1I2,O75469,DB04216
Tyrosine-protein kinase HCK,Unknown,HCK,P08631,DB04216
5-hydroxytryptamine receptor 1A,Unknown,HTR1A,P08908,DB04829
5-hydroxytryptamine receptor 2B,Unknown,HTR2B,P41595,DB04829
5-hydroxytryptamine receptor 6,Unknown,HTR6,P50406,DB04829
Acetylcholinesterase,Yes,ACHE,P22303,DB01400
Retinoic acid receptor RXR-alpha,Yes,RXRA,P19793,DB00307
Retinoic acid receptor RXR-beta,Yes,RXRB,P28702,DB00307
Retinoic acid receptor RXR-gamma,Yes,RXRG,P48443,DB00307
Muscarinic acetylcholine receptor M1,Unknown,CHRM1,P11229,DB06153
Muscarinic acetylcholine receptor M2,Unknown,CHRM2,P08172,DB06153
Muscarinic acetylcholine receptor M3,Unknown,CHRM3,P20309,DB06153
5-hydroxytryptamine receptor 2A,Unknown,HTR2A,P28223,DB06153
5-hydroxytryptamine receptor 2B,Unknown,HTR2B,P41595,DB06153
5-hydroxytryptamine receptor 2C,Unknown,HTR2C,P28335,DB06153
5-hydroxytryptamine receptor 1A,Unknown,HTR1A,P08908,DB06153
5-hydroxytryptamine receptor 1B,Unknown,HTR1B,P28222,DB06153
Histamine H1 receptor,Unknown,HRH1,P35367,DB06153
Alpha-1A adrenergic receptor,Unknown,ADRA1A,P35348,DB06153
Alpha-1B adrenergic receptor,Unknown,ADRA1B,P35368,DB06153
Alpha-1D adrenergic receptor,Unknown,ADRA1D,P25100,DB06153
Alpha-2A adrenergic receptor,Unknown,ADRA2A,P08913,DB06153
Alpha-2B adrenergic receptor,Unknown,ADRA2B,P18089,DB06153
Alpha-2C adrenergic receptor,Unknown,ADRA2C,P18825,DB06153
Histone deacetylase (Protein Group),Yes,,,DB11841
Mineralocorticoid receptor,Yes,NR3C2,P08235,DB00421
Glucocorticoid receptor,Unknown,NR3C1,P04150,DB00421
Androgen receptor,Unknown,AR,P10275,DB00421
Progesterone receptor,Unknown,PGR,P06401,DB00421
Estrogen receptor (Protein Group),Unknown,,,DB00421
Nuclear receptor subfamily 1 group I member 2,Unknown,NR1I2,O75469,DB00421
Voltage-dependent L-type calcium channel (Protein Group),Unknown,,,DB00421
Androgen receptor,Yes,AR,P10275,DB00624
Estrogen receptor alpha,Unknown,ESR1,P03372,DB00624
Mineralocorticoid receptor,Unknown,NR3C2,P08235,DB00624
Prostaglandin E2 receptor EP2 subtype,Yes,PTGER2,P43116,DB00917
Prostaglandin E2 receptor EP1 subtype,Yes,PTGER1,P34995,DB00917
Prostaglandin E2 receptor EP3 subtype,Yes,PTGER3,P43115,DB00917
Prostaglandin E2 receptor EP4 subtype,Yes,PTGER4,P35408,DB00917
Prostaglandin D2 receptor 2,Unknown,PTGDR2,Q9Y5Y4,DB00917
5-hydroxytryptamine receptor 2C,Yes,HTR2C,P28335,DB06594
Melatonin receptor type 1A,Yes,MTNR1A,P48039,DB06594
Melatonin receptor type 1B,Yes,MTNR1B,P49286,DB06594
Geranylgeranyl pyrophosphate synthase,Yes,GGPS1,O95749,DB00399
Hydroxylapatite,Yes,,,DB00399
Farnesyl pyrophosphate synthase,Yes,FDPS,P14324,DB00399
Sodium-dependent serotonin transporter,Yes,SLC6A4,P31645,DB01242
5-hydroxytryptamine receptor 2A,Yes,HTR2A,P28223,DB01242
5-hydroxytryptamine receptor 2B,Yes,HTR2B,P41595,DB01242
5-hydroxytryptamine receptor 2C,Yes,HTR2C,P28335,DB01242
Sodium-dependent noradrenaline transporter,Unknown,SLC6A2,P23975,DB01242
Glutathione S-transferase P,Unknown,GSTP1,P09211,DB01242
Sigma non-opioid intracellular receptor 1,Yes,SIGMAR1,Q99720,DB00514
"Glutamate receptor ionotropic, NMDA 3A",Yes,GRIN3A,Q8TCU5,DB00514
Neuronal acetylcholine receptor subunit alpha-2,Unknown,CHRNA2,Q15822,DB00514
Sodium-dependent serotonin transporter,Unknown,SLC6A4,P31645,DB00514
Membrane-associated progesterone receptor component 1,Unknown,PGRMC1,O00264,DB00514
Neuronal acetylcholine receptor subunit alpha-3,Unknown,CHRNA3,P32297,DB00514
Neuronal acetylcholine receptor subunit alpha-4,Unknown,CHRNA4,P43681,DB00514
Neuronal acetylcholine receptor subunit beta-4,Unknown,CHRNB4,P30926,DB00514
Neuronal acetylcholine receptor subunit beta-2,Unknown,CHRNB2,P17787,DB00514
Neuronal acetylcholine receptor subunit alpha-7,Unknown,CHRNA7,P36544,DB00514
Mu-type opioid receptor,Unknown,OPRM1,P35372,DB00514
Delta-type opioid receptor,Unknown,OPRD1,P41143,DB00514
Kappa-type opioid receptor,Unknown,OPRK1,P41145,DB00514
NADPH oxidase (Protein Group),Unknown,,,DB00514
Sodium-dependent noradrenaline transporter,Unknown,SLC6A2,P23975,DB00514
Alpha-2A adrenergic receptor,Yes,ADRA2A,P08913,DB01392
Alpha-2B adrenergic receptor,Yes,ADRA2B,P18089,DB01392
Alpha-2C adrenergic receptor,Yes,ADRA2C,P18825,DB01392
5-hydroxytryptamine receptor 1A,Unknown,HTR1A,P08908,DB01392
5-hydroxytryptamine receptor 1B,Unknown,HTR1B,P28222,DB01392
5-hydroxytryptamine receptor 1D,Unknown,HTR1D,P28221,DB01392
Dopamine D2 receptor,Unknown,DRD2,P14416,DB01392
Dopamine D3 receptor,Unknown,DRD3,P35462,DB01392
5-hydroxytryptamine receptor 2A,Unknown,HTR2A,P28223,DB01392
5-hydroxytryptamine receptor 2C,Unknown,HTR2C,P28335,DB01392
ATP-sensitive potassium channel (Protein Group),Unknown,,,DB01392
5-hydroxytryptamine receptor 2B,Unknown,HTR2B,P41595,DB01392
Adenosine receptor A1,Yes,ADORA1,P30542,DB00640
Adenosine receptor A2a,Yes,ADORA2A,P29274,DB00640
Adenosine receptor A2b,Yes,ADORA2B,P29275,DB00640
Adenosine receptor A3,Yes,ADORA3,P0DMS8,DB00640
Estrogen receptor alpha,Yes,ESR1,P03372,DB00783
Estrogen receptor beta,Yes,ESR2,Q92731,DB00783
Nuclear receptor subfamily 1 group I member 2,Unknown,NR1I2,O75469,DB00783
Neuronal acetylcholine receptor subunit alpha-4,Unknown,CHRNA4,P43681,DB00783
G-protein coupled estrogen receptor 1,Unknown,GPER1,Q99527,DB00783
ATP synthase subunit a,Unknown,MT-ATP6,P00846,DB00783
Beclin-1,Unknown,BECN1,Q14457,DB00783
Sphingosine 1-phosphate receptor 5,Yes,S1PR5,Q9H228,DB08868
Sphingosine 1-phosphate receptor 1,Yes,S1PR1,P21453,DB08868
Sphingosine 1-phosphate receptor 3,Yes,S1PR3,Q99500,DB08868
Histone deacetylase 1,Unknown,HDAC1,Q13547,DB08868
Sphingosine 1-phosphate receptor 4,Unknown,S1PR4,O95977,DB08868
Gamma-aminobutyric acid receptor subunit alpha-1,Yes,GABRA1,P14867,DB00292
Alpha-2B adrenergic receptor,Yes,ADRA2B,P18089,DB00292
GABA(A) Receptor (Protein Group),Yes,,,DB00292
Prostaglandin G/H synthase 2,Yes,PTGS2,P35354,DB06736
Prostaglandin G/H synthase 1,Yes,PTGS1,P23219,DB06736
Dopamine beta-hydroxylase,Yes,DBH,P09172,DB00822
"Aldehyde dehydrogenase, mitochondrial",Yes,ALDH2,P05091,DB00822
Mu-type opioid receptor,Yes,OPRM1,P35372,DB00836
Delta-type opioid receptor,Unknown,OPRD1,P41143,DB00836
Kappa-type opioid receptor,Unknown,OPRK1,P41145,DB00836
Calmodulin,Unknown,CALM1,P0DP23,DB00836
Pro-opiomelanocortin,Unknown,POMC,P01189,DB00836
Voltage-dependent P/Q-type calcium channel subunit alpha-1A,No,CACNA1A,O00555,DB00836
Potassium voltage-gated channel subfamily H member 2,No,KCNH2,Q12809,DB00836
Cytochrome P450 51,Yes,ERG11,P10613,DB00257
Intermediate conductance calcium-activated potassium channel protein 4,Yes,KCNN4,O15554,DB00257
Ergosterol,Yes,,,DB00257
Nuclear receptor subfamily 1 group I member 2,Unknown,NR1I2,O75469,DB00257
Hydroxycarboxylic acid receptor 2,Unknown,HCAR2,Q8TDS4,DB00257
Carbonic anhydrase 2,Yes,CA2,P00918,DB01194
Carbonic anhydrase 1,Unknown,CA1,P00915,DB01194
Carbonic anhydrase 4,Unknown,CA4,P22748,DB01194
"Carbonic anhydrase 5A, mitochondrial",Unknown,CA5A,P35218,DB01194
Carbonic anhydrase 3,Unknown,CA3,P07451,DB01194
Potassium-transporting ATPase alpha chain 1,Yes,ATP4A,P20648,DB00448
Microtubule-associated protein tau,Unknown,MAPT,P10636,DB00448
Tubulin alpha-4A chain,Yes,TUBA4A,P68366,DB01179
Tubulin beta chain,Yes,TUBB,P07437,DB01179
DNA topoisomerase 2-alpha,Yes,TOP2A,P11388,DB01179
Prostaglandin G/H synthase 2,Yes,PTGS2,P35354,DB04743
Group IIE secretory phospholipase A2,Unknown,PLA2G2E,Q9NZK7,DB04743
Lactotransferrin,Unknown,LTF,P02788,DB04743
Androgen receptor,Yes,AR,P10275,DB00665
Fibroblast growth factor receptor 1,Yes,FGFR1,P11362,DB12147
Fibroblast growth factor receptor 2,Yes,FGFR2,P21802,DB12147
Fibroblast growth factor receptor 3,Yes,FGFR3,P22607,DB12147
Fibroblast growth factor receptor 4,Yes,FGFR4,P22455,DB12147
RET proto-oncogene,Unknown,RET,O43519,DB12147
Macrophage colony-stimulating factor 1 receptor,Unknown,CSF1R,P07333,DB12147
Platelet-derived growth factor receptor alpha,Unknown,PDGFRA,P16234,DB12147
Platelet-derived growth factor receptor beta,Unknown,PDGFRB,P09619,DB12147
